l,volume,execution_time,provider,total_score,total_max_score,question_count,completeness,tac_id,model_id
1,1,2026-01-03 10:41:08,Gemini,100,100,19/19,100%,grade3_volume1,gemini-3-pro-preview
2,1,2026-01-03 10:41:08,OpenAI,49,100,19/19,100%,grade3_volume1,gpt-5.2
3,1,2026-01-03 10:50:32,Gemini,100,100,19/19,100%,grade3_volume1,gemini-3-pro-preview
4,1,2026-01-03 10:50:32,OpenAI,55,100,19/19,100%,grade3_volume1,gpt-5.2
5,1,2026-01-03 11:22:09,Gemini,100,100,19/19,100%,grade3_volume1,gemini-3-pro-preview
6,1,2026-01-03 11:22:09,OpenAI,46,100,19/19,100%,grade3_volume1,gpt-5.2
7,2,2026-01-03 12:22:32,Gemini,97,100,18/18,100%,grade3_volume2,gemini-3-pro-preview
8,2,2026-01-03 12:22:32,OpenAI,61,100,18/18,100%,grade3_volume2,gpt-5.2
9,2,2026-01-03 12:40:01,Gemini,97,100,18/18,100%,grade3_volume2,gemini-3-pro-preview
10,2,2026-01-03 12:40:01,OpenAI,61,100,18/18,100%,grade3_volume2,gpt-5.2
11,2,2026-01-03 13:45:51,Gemini,97,100,18/18,100%,grade3_volume2,gemini-3-pro-preview
12,2,2026-01-03 13:45:51,OpenAI,58,100,18/18,100%,grade3_volume2,gpt-5.2
13,3,2026-01-03 14:07:33,Gemini,96,100,20/20,100%,grade3_volume3,gemini-3-pro-preview
14,3,2026-01-03 14:07:33,OpenAI,73,100,20/20,100%,grade3_volume3,gpt-5.2
15,3,2026-01-03 14:22:08,Gemini,96,100,20/20,100%,grade3_volume3,gemini-3-pro-preview
16,3,2026-01-03 14:22:08,OpenAI,72,100,20/20,100%,grade3_volume3,gpt-5.2
17,3,2026-01-03 14:42:59,Gemini,94,100,20/20,100%,grade3_volume3,gemini-3-pro-preview
18,3,2026-01-03 14:42:59,OpenAI,66,100,20/20,100%,grade3_volume3,gpt-5.2
