l,volume,execution_time,provider,total_score,total_max_score,question_count,completeness,reasoning_effort
1,167,2026-02-01 02:40:21,Gemini,77,100,9/9,100%,default
2,167,2026-02-01 02:54:47,Gemini,80,100,9/9,100%,default
3,167,2026-02-01 03:12:59,Gemini,82,100,9/9,100%,default
4,167,2026-02-01 03:24:34,Gemini,81,100,9/9,100%,default
5,167,2026-02-01 03:39:15,Gemini,79,100,9/9,100%,default
6,167,2026-02-01 04:00:47,OpenAI,17.5,100,9/9,100%,default
7,167,2026-02-01 04:02:05,OpenAI,20.5,100,9/9,100%,default
8,167,2026-02-01 04:07:02,OpenAI,17.5,100,9/9,100%,default
9,167,2026-02-01 04:45:18,Gemini,82,100,9/9,100%,default
10,167,2026-02-01 04:45:18,OpenAI,19.5,100,9/9,100%,default
11,167,2026-02-01 04:56:51,Gemini,80,100,9/9,100%,default
12,167,2026-02-01 04:56:51,OpenAI,18.5,100,9/9,100%,default
13,167,2026-02-01 05:11:34,Gemini,77,100,9/9,100%,default
14,167,2026-02-01 05:11:34,OpenAI,19.5,100,9/9,100%,default
15,167,2026-02-01 05:25:16,Gemini,80,100,9/9,100%,default
16,167,2026-02-01 05:25:16,OpenAI,15.5,100,9/9,100%,default
17,167,2026-02-01 05:35:51,Gemini,78,100,9/9,100%,default
18,167,2026-02-01 05:35:51,OpenAI,17.5,100,9/9,100%,default
19,167,2026-02-01 10:35:47,OpenAI,17.5,100,9/9,100%,default
20,167,2026-02-01 10:36:55,OpenAI,18.5,100,9/9,100%,default
21,167,2026-02-01 10:38:00,OpenAI,16.5,100,9/9,100%,default
22,167,2026-02-04 13:32:12,OpenAI,71,100,9/9,100%,high
23,167,2026-02-04 13:57:03,OpenAI,72,100,9/9,100%,high
24,167,2026-02-04 14:32:57,OpenAI,72,100,9/9,100%,high
25,167,2026-02-04 14:58:41,OpenAI,72,100,9/9,100%,high
26,167,2026-02-05 13:12:50,OpenAI,73,100,9/9,100%,high
27,167,2026-02-05 13:35:44,OpenAI,73,100,9/9,100%,high
28,167,2026-02-07 04:05:23,OpenAI,71,100,9/9,100%,high
29,167,2026-02-07 04:43:11,OpenAI,63,100,9/9,100%,high
30,167,2026-02-07 05:15:07,OpenAI,72,100,9/9,100%,high
31,167,2026-02-07 05:38:31,OpenAI,72,100,9/9,100%,high
